,,,,Indicadores de Liquidez,,
,SETOR ECONÔMICO,Empresa,Descrição,Índice pré adoção,Índice pós adoção,Variação
,"Petróleo, Gás e Biocombustíveis",3R PETROLEUM,Liquidez corrente,"4,76014932337844","3,72299270072993","-1,03715662264851"
,Comunicações,ALGAR TELEC,Liquidez corrente,"1,0744464908008","0,975775945292499","-0,098670545508305"
,Saúde,ALLIAR,Liquidez corrente,"1,0389904739626","1,0389904739626",0
,Consumo Cíclico,ALPARGATAS  ,Liquidez corrente,"2,06044445977527","2,06044445977527",0
,Utilidade Pública,ALUPAR,Liquidez corrente,"3,2614032815707","3,2614032815707",0
,Consumo não Cíclico,AMBEV S/A,Liquidez corrente,"1,00478575852452","1,00478575852452",0
,Utilidade Pública,AMBIPAR,Liquidez corrente,"1,14868825392813","1,14868825392813",0
,Utilidade Pública,AMPLA ENERG ,Liquidez corrente,"0,645941534077899","0,645941534077899",0
,Consumo Cíclico,ANIMA,Liquidez corrente,"1,76263267438747","1,76263267438747",0
,Consumo Cíclico,AREZZO CO   ,Liquidez corrente,"3,29049314351144","3,29049314351144",0
,Bens Industriais,ATMASA,Liquidez corrente,"0,955318697273626","0,955318697273626",0
,Bens Industriais,AZUL,Liquidez corrente,"0,868123449206442","0,672110900889665","-0,196012548316777"
,Consumo Cíclico,B2W DIGITAL,Liquidez corrente,"2,19254687644286","2,14832898456452","-0,044217891878336"
,Consumo Cíclico,BAHEMA      ,Liquidez corrente,"1,05027567006933","1,05027567006933",0
,Bens Industriais,BBMLOGISTICA,Liquidez corrente,"1,30718548414916","1,30718548414916",0
,Consumo não Cíclico,BIOSEV,Liquidez corrente,"1,57736736940301","1,57736736940301",0
,Consumo Cíclico,BK BRASIL,Liquidez corrente,"1,36693208821445","1,36693208821445",0
,Consumo não Cíclico,BOMBRIL     ,Liquidez corrente,"0,544034619679861","0,54185679609307","-0,002177823586791"
,Consumo não Cíclico,BRASILAGRO  ,Liquidez corrente,"2,18191809441939","2,18191809441939",0
,Materiais Básicos,BRASKEM     ,Liquidez corrente,"0,925062586168187","0,925062586168187",0
,Consumo não Cíclico,BRF SA   ,Liquidez corrente,"1,31350492523798","1,31350492523798",0
,Consumo não Cíclico,CAMIL,Liquidez corrente,"2,24225661619522","2,24225661619522",0
,Consumo não Cíclico,CARREFOUR BR,Liquidez corrente,"1,06879254747402","1,05949209731842","-0,009300450155608"
,Bens Industriais,CCR SA      ,Liquidez corrente,"0,937712535584134","0,937712535584134",0
,Consumo Cíclico,CEA MODAS,Liquidez corrente,"1,25456210844379","1,25456210844379",0
,Consumo Cíclico,CEDRO       ,Liquidez corrente,"1,03858146117857","1,03858146117857",0
,Utilidade Pública,CEEE-D      ,Liquidez corrente,"0,41214795703841","0,41214795703841",0
,Utilidade Pública,CEG         ,Liquidez corrente,"0,828298721107591","0,823704224004555","-0,004594497103036"
,Utilidade Pública,CEMIG       ,Liquidez corrente,"1,18819219833951","1,18819219833951",0
,Consumo Cíclico,CENTAURO,Liquidez corrente,"0,879126576802394","0,879126576802394",0
,Comunicações,CINESYSTEM,Liquidez corrente,"0,285023555665757","0,230457707652519","-0,054565848013238"
,Consumo Cíclico,COGNA ON,Liquidez corrente,"2,17506439300626","2,17506439300626",0
,Utilidade Pública,COPASA      ,Liquidez corrente,"1,38571574522413","1,38571574522413",0
,Utilidade Pública,COPEL       ,Liquidez corrente,"0,997420805680082","0,997420805680082",0
,"Petróleo, Gás e Biocombustíveis",COSAN       ,Liquidez corrente,"1,90013289209552","1,8964767234705","-0,003656168625026"
,Materiais Básicos,CRISTAL,Liquidez corrente,"9,41420981539847","9,41420981539847",0
,Consumo Cíclico,CRUZEIRO EDU,Liquidez corrente,"0,873280523942947","0,781884691356325","-0,091395832586622"
,Bens Industriais,CSU CARDSYST,Liquidez corrente,"1,19284939270402","1,19284939270402",0
,Consumo Cíclico,CURY S/A,Liquidez corrente,"1,8779474621368","1,8779474621368",0
,Consumo Cíclico,CVC BRASIL,Liquidez corrente,"1,16396663155963","1,16396663155963",0
,Consumo Cíclico,CYRELA REALT,Liquidez corrente,"3,52368514257992","3,52368514257992",0
,Saúde,D1000VFARMA,Liquidez corrente,"0,768732641340677","0,630416372107388","-0,138316269233289"
,Saúde,DASA        ,Liquidez corrente,"1,62756014745484","1,46344592960675","-0,164114217848091"
,Consumo Cíclico,DIRECIONAL  ,Liquidez corrente,"2,9458750677216","2,9458750677216",0
,"Petróleo, Gás e Biocombustíveis",DOMMO,Liquidez corrente,"1,01283012401739","0,583520836504091","-0,429309287513302"
,Bens Industriais,DTCOM-DIRECT,Liquidez corrente,"0,618454305024978","0,591778202676864","-0,026676102348114"
,Materiais Básicos,DURATEX     ,Liquidez corrente,"1,76200286990011","1,76200286990011",0
,Utilidade Pública,ELETROBRAS  ,Liquidez corrente,"1,28259364240542","1,28259364240542",0
,Bens Industriais,EMBRAER     ,Liquidez corrente,"3,72897274390158","3,72897274390158",0
,"Petróleo, Gás e Biocombustíveis",ENAUTA PART,Liquidez corrente,"9,93211370223629","9,93211370223629",0
,Utilidade Pública,ENERGIAS BR ,Liquidez corrente,"1,53633748709179","1,53490299862208","-0,001434488469717"
,Utilidade Pública,ENERGISA    ,Liquidez corrente,"1,46423375733666","1,46423375733666",0
,Utilidade Pública,ENEVA,Liquidez corrente,"2,19320285584676","2,19320285584676",0
,Utilidade Pública,ENGIE BRASIL,Liquidez corrente,"1,09265990785709","1,08870352761297","-0,003956380244116"
,Utilidade Pública,EQUATORIAL  ,Liquidez corrente,"1,46367617950125","1,46367617950125",0
,Consumo Cíclico,ESPACOLASER,Liquidez corrente,"1,02561709859719","1,02561709859719",0
,Bens Industriais,ESTAPAR,Liquidez corrente,"0,455676570115138","0,302529774533933","-0,153146795581205"
,Bens Industriais,ETERNIT     ,Liquidez corrente,"1,14456671951437","1,14456671951437",0
,Materiais Básicos,EUCATEX     ,Liquidez corrente,"0,019385699899295","0,019385699899295",0
,Consumo não Cíclico,EXCELSIOR   ,Liquidez corrente,"1,53840145069047","1,53840145069047",0
,Consumo Cíclico,EZTEC       ,Liquidez corrente,"8,0481045853964","8,0481045853964",0
,Saúde,FLEURY      ,Liquidez corrente,"2,2958315991676","2,2958315991676",0
,Bens Industriais,FLEX S/A,Liquidez corrente,"1,05559678658386","1,00887885066483","-0,046717935919032"
,Bens Industriais,FRAS-LE     ,Liquidez corrente,"2,09598094048726","2,04661818619536","-0,049362754291896"
,Consumo Cíclico,GAFISA      ,Liquidez corrente,"1,62016044041713","1,61841899064831","-0,001741449768815"
,Materiais Básicos,GERDAU      ,Liquidez corrente,"2,05815631308241","2,05815631308241",0
,Bens Industriais,GOL         ,Liquidez corrente,"0,459802687459135","0,459802687459135",0
,Materiais Básicos,GPC PART    ,Liquidez corrente,"1,38046575559726","1,36189010874384","-0,018575646853422"
,Consumo Cíclico,GRENDENE    ,Liquidez corrente,"7,98648438713687","7,98648438713687",0
,Consumo não Cíclico,GRUPO MATEUS,Liquidez corrente,"2,30807383703402","2,19200790654273","-0,116065930491291"
,Consumo não Cíclico,GRUPO NATURA      ,Liquidez corrente,"1,41360350751421","1,41360350751421",0
,Consumo Cíclico,GRUPO SOMA,Liquidez corrente,"1,29712","1,29712",0
,Consumo Cíclico,GUARARAPES  ,Liquidez corrente,"1,65596961188093","1,65596961188093",0
,Saúde,HAPVIDA,Liquidez corrente,"1,29211055032122","1,25556364638274","-0,036546903938472"
,Consumo Cíclico,HELBOR      ,Liquidez corrente,"1,96928878989465","1,96928878989465",0
,Bens Industriais,HIDROVIAS,Liquidez corrente,"3,52012812185459","3,52012812185459",0
,Saúde,HYPERA,Liquidez corrente,"3,02512342339656","3,02512342339656",0
,Utilidade Pública,IGUA SA  ,Liquidez corrente,"1,86352168850462","1,8393898061026","-0,024131882402025"
,Bens Industriais,INDS ROMI   ,Liquidez corrente,"1,92240704393084","1,92240704393084",0
,Consumo Cíclico,INTER SA ,Liquidez corrente,"1,79015242620675","1,79015242620675",0
,Saúde,INTERMEDICA,Liquidez corrente,"1,20940380489999","1,19013937047461","-0,019264434425384"
,Consumo Cíclico,IOCHP-MAXION,Liquidez corrente,"1,08031475592375","1,08031475592375",0
,Materiais Básicos,IRANI ,Liquidez corrente,"0,851753862286068","0,851753862286068",0
,Consumo não Cíclico,JALLESMACHAD,Liquidez corrente,"2,58203614888919","2,13587713686074","-0,44615901202845"
,Consumo não Cíclico,JBS         ,Liquidez corrente,"1,7081767485509","1,7081767485509",0
,Consumo Cíclico,JHSF PART   ,Liquidez corrente,"0,966061375922749","0,957837287848993","-0,008224088073755"
,Consumo não Cíclico,JOSAPAR     ,Liquidez corrente,"2,24988670220608","2,24526489007716","-0,00462181212892"
,Bens Industriais,JSL         ,Liquidez corrente,"1,42645556047762","1,34014397284415","-0,086311587633473"
,Consumo Cíclico,KARSTEN     ,Liquidez corrente,"0,350312321043126","0,350312321043126",0
,Bens Industriais,KEPLER WEBER,Liquidez corrente,"1,54773126599811","1,51343616445961","-0,034295101538501"
,Materiais Básicos,KLABIN S/A  ,Liquidez corrente,"2,92907454488776","2,85931189196147","-0,069762652926287"
,Utilidade Pública,LIGHT S/A   ,Liquidez corrente,"1,06762662764481","1,06762662764481",0
,Tecnologia da Informação,LINX,Liquidez corrente,"3,16494789306751","3,02823998486122","-0,136707908206292"
,Consumo Cíclico,LOCALIZA    ,Liquidez corrente,"1,10612684913458","1,10612684913458",0
,Tecnologia da Informação,LOCAWEB,Liquidez corrente,"0,654733017499262","0,654733017499262",0
,Bens Industriais,LOG-IN      ,Liquidez corrente,"1,00685381425885","1,00685381425885",0
,Consumo Cíclico,LOJAS MARISA,Liquidez corrente,"1,44146547404417","1,44146547404417",0
,Consumo Cíclico,LOJAS RENNER,Liquidez corrente,"1,37138024052142","1,37138024052142",0
,Consumo não Cíclico,M.DIASBRANCO,Liquidez corrente,"1,91223425435069","1,91223425435069",0
,Consumo Cíclico,MAGAZ LUIZA ,Liquidez corrente,"1,18999227628411","1,14236875672517","-0,047623519558938"
,Materiais Básicos,MANGELS INDL,Liquidez corrente,"2,24202763365009","2,21864859017812","-0,02337904347197"
,Bens Industriais,MARCOPOLO   ,Liquidez corrente,"1,67411004103527","1,67411004103527",0
,Consumo não Cíclico,MARFRIG     ,Liquidez corrente,"1,36044719241209","1,36044719241209",0
,Materiais Básicos,METAL IGUACU,Liquidez corrente,"0,760626586214431","0,732317102771979","-0,028309483442452"
,Consumo Cíclico,METAL LEVE  ,Liquidez corrente,"1,97043454100515","1,97043454100515",0
,Bens Industriais,METALFRIO   ,Liquidez corrente,"1,09374759619404","1,09374759619404",0
,Bens Industriais,MILLS       ,Liquidez corrente,"1,25857778312094","1,25857778312094",0
,Bens Industriais,MINASMAQUINA,Liquidez corrente,"2,55193204389536","2,55193204389536",0
,Consumo não Cíclico,MINERVA     ,Liquidez corrente,"1,35963483400764","1,35806374297458","-0,001571091033062"
,Consumo Cíclico,MITRE REALTY,Liquidez corrente,"3,28575779389778","3,28575779389778",0
,Tecnologia da Informação,MOBLY,Liquidez corrente,"0,795905723905724","0,795905723905724",0
,Consumo Cíclico,MOURA DUBEUX,Liquidez corrente,"0,680127665844741","0,680127665844741",0
,Consumo Cíclico,MOVIDA,Liquidez corrente,"0,727501593550882","0,703646949705851","-0,02385464384503"
,Bens Industriais,MRS LOGIST  ,Liquidez corrente,"0,686680600707467","0,686680600707467",0
,Consumo Cíclico,MRV         ,Liquidez corrente,"2,97633660993475","2,97633660993475",0
,Tecnologia da Informação,NEOGRID,Liquidez corrente,"0,755285591646869","0,736444068093556","-0,018841523553313"
,"Petróleo, Gás e Biocombustíveis",OCEANPACT,Liquidez corrente,"0,946628819358251","0,818843827022183","-0,127784992336068"
,Comunicações,OI,Liquidez corrente,"1,99387864250193","1,99387864250193",0
,Utilidade Pública,OMEGA GER,Liquidez corrente,"2,07650348129836","2,07650348129836",0
,Utilidade Pública,ORIZON,Liquidez corrente,"0,361908537794111","0,361908537794111",0
,"Petróleo, Gás e Biocombustíveis",OSX BRASIL  ,Liquidez corrente,"0,025334479608834","0,02126752217887","-0,004066957429963"
,Consumo não Cíclico,P.ACUCAR-CBD,Liquidez corrente,"1,10733567180113","1,08678532471333","-0,020550347087797"
,Saúde,PAGUE MENOS,Liquidez corrente,"1,18646556421005","1,18646556421005",0
,Materiais Básicos,PARANAPANEMA,Liquidez corrente,"1,52324301518128","1,52324301518128",0
,"Petróleo, Gás e Biocombustíveis",PET MANGUINH,Liquidez corrente,"0,429889170478756","0,429889170478756",0
,"Petróleo, Gás e Biocombustíveis",PETROBRAS   ,Liquidez corrente,"1,40175959121441","1,40175959121441",0
,"Petróleo, Gás e Biocombustíveis",PETRORIO,Liquidez corrente,"2,79152313025289","2,79152313025289",0
,Consumo Cíclico,PETTENATI   ,Liquidez corrente,"1,41823234503194","1,41823234503194",0
,Bens Industriais,PORTOBELLO  ,Liquidez corrente,"1,37054528484412","1,34649018072059","-0,024055104123534"
,Bens Industriais,PRINER,Liquidez corrente,"0,917306854803588","0,917306854803588",0
,Saúde,PROFARMA    ,Liquidez corrente,"1,3835204915391","1,30456440847438","-0,078956083064716"
,Saúde,QUALICORP   ,Liquidez corrente,"0,936806996951001","0,936806996951001",0
,Consumo Cíclico,QUERO-QUERO,Liquidez corrente,"1,58654939416039","1,58654939416039",0
,Saúde,RAIADROGASIL    ,Liquidez corrente,"1,5548002450707","1,32227421598557","-0,232526029085127"
,Bens Industriais,RANDON PART ,Liquidez corrente,"2,19942016090914","2,17692197517861","-0,022498185730528"
,Saúde,REDE D OR,Liquidez corrente,"3,69274481154977","3,69274481154977",0
,Utilidade Pública,SABESP      ,Liquidez corrente,"1,0377151100501","1,0377151100501",0
,Bens Industriais,SANTOS BRP  ,Liquidez corrente,"1,36751603200726","1,34550691887524","-0,022009113132021"
,Consumo não Cíclico,SAO MARTINHO,Liquidez corrente,"2,5863008034731","2,5863008034731",0
,Consumo Cíclico,SARAIVA LIVR,Liquidez corrente,"0,604515296811644","0,580650893186236","-0,023864403625408"
,Bens Industriais,SEQUOIA LOG,Liquidez corrente,"1,0549492644362","1,0549492644362",0
,Consumo Cíclico,SER EDUCA,Liquidez corrente,"2,80809546609701","2,80809546609701",0
,Materiais Básicos,SID NACIONAL,Liquidez corrente,"1,05034999185212","1,04675880689627","-0,003591184955843"
,Tecnologia da Informação,SINQIA,Liquidez corrente,"1,53774342203062","1,46297448662103","-0,07476893540959"
,Consumo não Cíclico,SLC AGRICOLA,Liquidez corrente,"1,36601327590704","1,31145264520179","-0,054560630705246"
,Consumo Cíclico,SMART FIT,Liquidez corrente,"0,999198993658979","0,999198993658979",0
,Bens Industriais,SONDOTECNICA,Liquidez corrente,"7,04423615977575","6,31414886934673","-0,73008729042902"
,Consumo Cíclico,SPRINGS     ,Liquidez corrente,"1,29843746725074","1,29843746725074",0
,Utilidade Pública,STATKRAFT,Liquidez corrente,"1,29020068007899","1,29020068007899",0
,Materiais Básicos,SUZANO S.A.,Liquidez corrente,"5,08343437297708","5,08343437297708",0
,Utilidade Pública,TAESA       ,Liquidez corrente,"2,98029699832252","2,98029699832252",0
,Consumo Cíclico,TECNISA     ,Liquidez corrente,"1,3463463974439","1,34495549381748","-0,001390903626412"
,Bens Industriais,TEGMA       ,Liquidez corrente,"1,97788938244981","1,81095336209302","-0,166936020356789"
,Comunicações,TELEF BRASIL,Liquidez corrente,"1,07005329582153","1,07005329582153",0
,Consumo não Cíclico,TERRA SANTA,Liquidez corrente,"0,89229194652338","0,85706444565811","-0,03522750086527"
,Comunicações,TIM,Liquidez corrente,"0,84774624793951","0,761965100190269","-0,085781147749241"
,Consumo Cíclico,TIME FOR FUN,Liquidez corrente,"2,23423362755237","2,23423362755237",0
,Tecnologia da Informação,TOTVS       ,Liquidez corrente,"1,43759406548931","1,37272537660887","-0,064868688880438"
,Consumo Cíclico,TRACK FIELD,Liquidez corrente,"3,38687959918585","2,93116531165312","-0,45571428753273"
,Consumo Cíclico,TRISUL      ,Liquidez corrente,"2,58679977814753","2,58679977814753",0
,Bens Industriais,TRIUNFO PART,Liquidez corrente,"0,159738665933383","0,159738665933383",0
,Bens Industriais,TUPY        ,Liquidez corrente,"2,00103935857701","1,98087253723068","-0,020166821346331"
,"Petróleo, Gás e Biocombustíveis",ULTRAPAR    ,Liquidez corrente,"3,04554037543041","2,81747817756314","-0,228062197867276"
,Consumo Cíclico,UNIDAS      ,Liquidez corrente,"3,26187299471348","3,23066311803306","-0,031209876680421"
,Materiais Básicos,VALE        ,Liquidez corrente,"1,67935383307354","1,67935383307354",0
,Bens Industriais,VALID       ,Liquidez corrente,"1,19611159389999","1,19183865472531","-0,004272939174679"
,Consumo Cíclico,VAMOS,Liquidez corrente,"0,858835244832086","0,844755344480451","-0,014079900351635"
,Consumo Cíclico,VIAVAREJO,Liquidez corrente,"0,934466019417476","0,903608988423999","-0,030857030993476"
,Consumo Cíclico,VULCABRAS   ,Liquidez corrente,"2,90871058609723","2,81133938044082","-0,097371205656413"
,Tecnologia da Informação,WESTWING,Liquidez corrente,"0,708208260014491","0,708208260014491",0
,Consumo Cíclico,WHIRLPOOL   ,Liquidez corrente,"1,2247623811218","1,2247623811218",0
,Bens Industriais,WILSON SONS ,Liquidez corrente,"1,49218118472972","1,49218118472972",0
,Bens Industriais,WLM IND COM ,Liquidez corrente,"2,54148735690378","2,54148735690378",0
,"Petróleo, Gás e Biocombustíveis",3R PETROLEUM,Liquidez Geral,"0,275670148027694","0,265843248836006","-0,009826899191688"
,Comunicações,ALGAR TELEC,Liquidez Geral,"0,411333642744024","0,357122248340376","-0,054211394403648"
,Saúde,ALLIAR,Liquidez Geral,"0,781060860885949","0,619106744074396","-0,161954116811552"
,Consumo Cíclico,ALPARGATAS  ,Liquidez Geral,"1,59403800784894","1,2998188024331","-0,294219205415842"
,Utilidade Pública,ALUPAR,Liquidez Geral,"1,16803147705938","1,16350704479391","-0,004524432265467"
,Consumo não Cíclico,AMBEV S/A,Liquidez Geral,"0,880890262103829","0,846856508670371","-0,034033753433457"
,Utilidade Pública,AMBIPAR,Liquidez Geral,"0,69555361307475","0,680666721090947","-0,014886891983803"
,Utilidade Pública,AMPLA ENERG ,Liquidez Geral,"1,02334825817372","1,01537813858054","-0,00797011959318"
,Consumo Cíclico,ANIMA,Liquidez Geral,"0,675008736324292","0,418784888416629","-0,256223847907664"
,Consumo Cíclico,AREZZO CO   ,Liquidez Geral,"2,67115886001978","1,67084187025627","-1,00031698976351"
,Bens Industriais,ATMASA,Liquidez Geral,"0,723892069966272","0,572501042162935","-0,151391027803337"
,Bens Industriais,AZUL,Liquidez Geral,"0,867654649061024","0,435597603772022","-0,432057045289001"
,Consumo Cíclico,B2W DIGITAL,Liquidez Geral,"1,01426328189096","0,985224390589916","-0,029038891301048"
,Consumo Cíclico,BAHEMA      ,Liquidez Geral,"1,30026356693924","0,806184659864658","-0,494078907074586"
,Bens Industriais,BBMLOGISTICA,Liquidez Geral,"0,945449676034036","0,843442832532034","-0,102006843502002"
,Consumo não Cíclico,BIOSEV,Liquidez Geral,"0,458650000728098","0,388777326757328","-0,06987267397077"
,Consumo Cíclico,BK BRASIL,Liquidez Geral,"1,09202618614222","0,621503348241777","-0,470522837900441"
,Consumo não Cíclico,BOMBRIL     ,Liquidez Geral,"0,627649108602298","0,623538302528131","-0,004110806074167"
,Consumo não Cíclico,BRASILAGRO  ,Liquidez Geral,"2,74714703686021","2,23855962045293","-0,508587416407284"
,Materiais Básicos,BRASKEM     ,Liquidez Geral,"0,600040741150365","0,57528919103164","-0,024751550118725"
,Consumo não Cíclico,BRF SA   ,Liquidez Geral,"0,762683454517282","0,718372934105007","-0,044310520412275"
,Consumo não Cíclico,CAMIL,Liquidez Geral,"1,1625312838334","1,11299315043334","-0,049538133400059"
,Consumo não Cíclico,CARREFOUR BR,Liquidez Geral,"1,03526292532037","0,995707424879935","-0,039555500440436"
,Bens Industriais,CCR SA      ,Liquidez Geral,"0,48572965051031","0,482687995087264","-0,003041655423046"
,Consumo Cíclico,CEA MODAS,Liquidez Geral,"1,11899218803553","0,644846905334124","-0,474145282701409"
,Consumo Cíclico,CEDRO       ,Liquidez Geral,"0,785819542506629","0,778401033250328","-0,007418509256301"
,Utilidade Pública,CEEE-D      ,Liquidez Geral,"0,462008961723486","0,45792404942873","-0,004084912294756"
,Utilidade Pública,CEG         ,Liquidez Geral,"0,538911233962339","0,536289987494249","-0,00262124646809"
,Utilidade Pública,CEMIG       ,Liquidez Geral,"0,93774324355773","0,930487342840118","-0,007255900717612"
,Consumo Cíclico,CENTAURO,Liquidez Geral,"0,775255844404781","0,492019794401434","-0,283236050003346"
,Comunicações,CINESYSTEM,Liquidez Geral,"0,200590041447205","0,139945522984938","-0,060644518462267"
,Consumo Cíclico,COGNA ON,Liquidez Geral,"0,587019583838679","0,466098124107938","-0,12092145973074"
,Utilidade Pública,COPASA      ,Liquidez Geral,"0,864643147803715","0,857985824994309","-0,006657322809406"
,Utilidade Pública,COPEL       ,Liquidez Geral,"0,851903803053667","0,846803160810207","-0,00510064224346"
,"Petróleo, Gás e Biocombustíveis",COSAN       ,Liquidez Geral,"0,569387887260421","0,567121062841806","-0,002266824418615"
,Materiais Básicos,CRISTAL,Liquidez Geral,"3,1593652863313","3,00594809539106","-0,153417190940247"
,Consumo Cíclico,CRUZEIRO EDU,Liquidez Geral,"0,24760801783139","0,181108470343153","-0,066499547488237"
,Bens Industriais,CSU CARDSYST,Liquidez Geral,"0,85667385306973","0,513996901809375","-0,342676951260355"
,Consumo Cíclico,CURY S/A,Liquidez Geral,"1,41341857524238","0,457880617507352","-0,955537957735025"
,Consumo Cíclico,CVC BRASIL,Liquidez Geral,"1,13770986473096","1,11662397455183","-0,021085890179127"
,Consumo Cíclico,CYRELA REALT,Liquidez Geral,"2,06384381807857","2,05694508633603","-0,006898731742538"
,Saúde,D1000VFARMA,Liquidez Geral,"0,569857830772759","0,428958565276303","-0,140899265496455"
,Saúde,DASA        ,Liquidez Geral,"0,667882227762151","0,529305307017891","-0,13857692074426"
,Consumo Cíclico,DIRECIONAL  ,Liquidez Geral,"1,3862028984084","1,36940063770526","-0,01680226070314"
,"Petróleo, Gás e Biocombustíveis",DOMMO,Liquidez Geral,"0,387483617751809","0,174732420569815","-0,212751197181994"
,Bens Industriais,DTCOM-DIRECT,Liquidez Geral,"0,500868055555556","0,449643758349414","-0,051224297206142"
,Materiais Básicos,DURATEX     ,Liquidez Geral,"1,19046992247355","1,0788252162765","-0,111644706197046"
,Utilidade Pública,ELETROBRAS  ,Liquidez Geral,"0,960108692196867","0,957506739704409","-0,002601952492458"
,Bens Industriais,EMBRAER     ,Liquidez Geral,"1,5837799008233","1,57156038685754","-0,012219513965767"
,"Petróleo, Gás e Biocombustíveis",ENAUTA PART,Liquidez Geral,"3,53579023208674","1,7733514279512","-1,76243880413554"
,Utilidade Pública,ENERGIAS BR ,Liquidez Geral,"0,896893526927679","0,896300486580505","-0,000593040347174"
,Utilidade Pública,ENERGISA    ,Liquidez Geral,"0,71077549646894","0,709847777250323","-0,000927719218617"
,Utilidade Pública,ENEVA,Liquidez Geral,"0,486334822854875","0,478831267646066","-0,007503555208809"
,Utilidade Pública,ENGIE BRASIL,Liquidez Geral,"0,447157468219293","0,444822215068365","-0,002335253150928"
,Utilidade Pública,EQUATORIAL  ,Liquidez Geral,"1,01954622258862","1,0167637534391","-0,002782469149527"
,Consumo Cíclico,ESPACOLASER,Liquidez Geral,"0,691791437262916","0,621067971368918","-0,070723465893998"
,Bens Industriais,ESTAPAR,Liquidez Geral,"0,418744789590054","0,164531694625002","-0,254213094965052"
,Bens Industriais,ETERNIT     ,Liquidez Geral,"0,689821615195929","0,674670525753786","-0,015151089442142"
